"id","year","month","state_name","state_code","assembly_no","ac_name","ac_type","candidate_name","sex","age","candidate_type","party","position","ac_total_candidates","total_electors","total_votes","total_valid_votes","vote_share_percentage","margin","margin_percentage","turnout_percentage","poll_no","delimit_id"
0,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","P.Ramulu","MALE",56.0,"SC","TDP",1.0,8.0,210950.0,67361.0,144980.0,46.46,4831.0,3.33,68.73,0.0,4.0
1,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","Dr.C.Vamshi Krishna","MALE",42.0,"SC","INC",2.0,8.0,210950.0,62530.0,144980.0,43.13,58067.0,40.05,68.73,0.0,4.0
2,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","P.Muneendranath","MALE",47.0,"SC","PRAP",3.0,8.0,210950.0,4463.0,144980.0,3.08,1585.0,1.09,68.73,0.0,4.0
3,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","Gadadasu Venkateshwarlu","MALE",37.0,"SC","LSP",4.0,8.0,210950.0,2878.0,144980.0,1.99,542.0,0.37,68.73,0.0,4.0
4,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","Beesamalla Yosef","MALE",36.0,"SC","BSP",5.0,8.0,210950.0,2336.0,144980.0,1.61,56.0,0.04,68.73,0.0,4.0
5,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","Mandala Sulthanamma","FEMALE",36.0,"SC","IND",6.0,8.0,210950.0,2280.0,144980.0,1.57,94.0,0.06,68.73,0.0,4.0
6,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","Y.Venkatesh","MALE",35.0,"SC","PPOI",7.0,8.0,210950.0,2186.0,144980.0,1.51,1240.0,0.86,68.73,0.0,4.0
7,"2009","5","Andhra Pradesh","28",13.0,"Achampet","SC","Kavali Venkataiah","MALE",26.0,"SC","IND",8.0,8.0,210950.0,946.0,144980.0,0.65,0.0,0.0,68.73,0.0,4.0
8,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Satyanarayana Pithani","MALE",55.0,"GEN","INC",1.0,14.0,142388.0,54903.0,118745.0,46.24,15755.0,13.27,83.4,0.0,4.0
9,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Karri Radha Krishna Reddy","MALE",51.0,"GEN","TDP",2.0,14.0,142388.0,39148.0,118745.0,32.97,22378.0,18.85,83.4,0.0,4.0
10,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Kudupudi Srinivasa Rao","MALE",43.0,"GEN","PRAP",3.0,14.0,142388.0,16770.0,118745.0,14.12,15493.0,13.05,83.4,0.0,4.0
11,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Rapaka Prabhakar Madiga","MALE",38.0,"SC","TPPP",4.0,14.0,142388.0,1277.0,118745.0,1.08,79.0,0.07,83.4,0.0,4.0
12,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Gudimetla Rama Kanaka Reddy","MALE",30.0,"GEN","BJP",5.0,14.0,142388.0,1198.0,118745.0,1.01,12.0,0.01,83.4,0.0,4.0
13,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Venugopala Krishna Nekkanti","MALE",54.0,"GEN","LSP",6.0,14.0,142388.0,1186.0,118745.0,1.0,116.0,0.1,83.4,0.0,4.0
14,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Bhupati Raju Venkata Krishnam Raju","MALE",43.0,"GEN","BSP",7.0,14.0,142388.0,1070.0,118745.0,0.9,201.0,0.17,83.4,0.0,4.0
15,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Murali Vendra","MALE",43.0,"GEN","RKSP",8.0,14.0,142388.0,869.0,118745.0,0.73,49.0,0.04,83.4,0.0,4.0
16,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Katta Venu Gopala Krishna","MALE",33.0,"GEN","RPI",9.0,14.0,142388.0,820.0,118745.0,0.69,321.0,0.27,83.4,0.0,4.0
17,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Chetlapalli Gopala Rao","MALE",73.0,"GEN","IND",10.0,14.0,142388.0,499.0,118745.0,0.42,51.0,0.04,83.4,0.0,4.0
18,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Balusu Sriramulu","MALE",60.0,"GEN","PPOI",11.0,14.0,142388.0,448.0,118745.0,0.38,245.0,0.21,83.4,0.0,4.0
19,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Karri Naga Sathyanarayana Reddy","MALE",33.0,"GEN","IND",12.0,14.0,142388.0,203.0,118745.0,0.17,1.0,0.0,83.4,0.0,4.0
20,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","Satti Somireddy (Ankusam Reddy)","MALE",54.0,"GEN","PRSHP",13.0,14.0,142388.0,202.0,118745.0,0.17,50.0,0.04,83.4,0.0,4.0
21,"2009","5","Andhra Pradesh","28",13.0,"Achanta","GEN","M P T Venkata Reddy","MALE",41.0,"GEN","BHSASP",14.0,14.0,142388.0,152.0,118745.0,0.13,0.0,0.0,83.4,0.0,4.0
22,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Satyanarayana Pithani","MALE",61.0,"GEN","TDP",1.0,12.0,159616.0,63549.0,130599.0,48.66,3920.0,3.0,81.82,0.0,4.0
23,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Mudunuri Prasada Raju","MALE",39.0,"GEN","YSRCP",2.0,12.0,159616.0,59629.0,130599.0,45.66,57975.0,44.39,81.82,0.0,4.0
24,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Ketha Gopalan","MALE",38.0,"GEN","CPM",3.0,12.0,159616.0,1654.0,130599.0,1.27,13.0,0.01,81.82,0.0,4.0
25,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Indugapalli Ramanuja Rao","MALE",50.0,"GEN","INC",4.0,12.0,159616.0,1641.0,130599.0,1.26,722.0,0.55,81.82,0.0,4.0
26,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","None Of The Above","None","","None","NOTA",5.0,12.0,159616.0,919.0,130599.0,0.7,132.0,0.1,81.82,0.0,4.0
27,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Kapa Dekkalayya","MALE",57.0,"SC","MASP",6.0,12.0,159616.0,787.0,130599.0,0.6,136.0,0.1,81.82,0.0,4.0
28,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Chintapalli Guruprasad","MALE",52.0,"GEN","BSP",7.0,12.0,159616.0,651.0,130599.0,0.5,146.0,0.11,81.82,0.0,4.0
29,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Anitha Nekkanti","FEMALE",38.0,"GEN","PPOI",8.0,12.0,159616.0,505.0,130599.0,0.39,108.0,0.08,81.82,0.0,4.0
30,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Arigela Satti Raju","MALE",52.0,"SC","IND",9.0,12.0,159616.0,397.0,130599.0,0.3,48.0,0.04,81.82,0.0,4.0
31,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Srinivasu Sanaboyina","MALE",42.0,"GEN","IND",10.0,12.0,159616.0,349.0,130599.0,0.27,140.0,0.11,81.82,0.0,4.0
32,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Sikhile Ratna Raju","MALE",46.0,"SC","IND",11.0,12.0,159616.0,209.0,130599.0,0.16,38.0,0.03,81.82,0.0,4.0
33,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Rayapalli Madhu Kiran","MALE",26.0,"GEN","IND",12.0,12.0,159616.0,171.0,130599.0,0.13,33.0,0.03,81.82,0.0,4.0
34,"2014","5","Andhra Pradesh","28",14.0,"Achanta","GEN","Nageswara Rao Vasanthada","MALE",46.0,"SC","IND",13.0,12.0,159616.0,138.0,130599.0,0.11,0.0,0.0,81.82,0.0,4.0
35,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Cherukuvada Sriranganadha Raju","MALE",66.0,"GEN","YSRCP",1.0,14.0,174308.0,66494.0,138747.0,47.92,12886.0,9.29,79.6,0.0,4.0
36,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Satyanarayana Pithani","MALE",66.0,"GEN","TDP",2.0,14.0,174308.0,53608.0,138747.0,38.64,39615.0,28.55,79.6,0.0,4.0
37,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Javvadi Vijay Venkatram","MALE",54.0,"GEN","JNP",3.0,14.0,174308.0,13993.0,138747.0,10.09,12540.0,9.04,79.6,0.0,4.0
38,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Nota","None","","None","NOTA",4.0,14.0,174308.0,1453.0,138747.0,1.05,259.0,0.19,79.6,0.0,4.0
39,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Nekkanti Venkata Satyanarayana (Satish)","MALE",57.0,"GEN","INC",5.0,14.0,174308.0,1194.0,138747.0,0.86,544.0,0.39,79.6,0.0,4.0
40,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Yedida Kodanda Chakrapani","MALE",48.0,"GEN","BJP",6.0,14.0,174308.0,650.0,138747.0,0.47,367.0,0.26,79.6,0.0,4.0
41,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Nanneti Pushpa Raju","MALE",36.0,"SC","IND",7.0,14.0,174308.0,283.0,138747.0,0.2,55.0,0.04,79.6,0.0,4.0
42,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Palingi.Kanaka Ratnam","MALE",53.0,"SC","IND",8.0,14.0,174308.0,228.0,138747.0,0.16,37.0,0.03,79.6,0.0,4.0
43,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Sikile Ratna Raju","MALE",51.0,"SC","IND",9.0,14.0,174308.0,191.0,138747.0,0.14,16.0,0.01,79.6,0.0,4.0
44,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Cherukuvada Venkata Rao","MALE",69.0,"GEN","IND",10.0,14.0,174308.0,175.0,138747.0,0.13,30.0,0.02,79.6,0.0,4.0
45,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Srivyshnava Rao Murali Nakka","MALE",42.0,"SC","IND",11.0,14.0,174308.0,145.0,138747.0,0.1,9.0,0.01,79.6,0.0,4.0
46,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Nekkanti Anitha","FEMALE",42.0,"GEN","PPOI",12.0,14.0,174308.0,136.0,138747.0,0.1,31.0,0.02,79.6,0.0,4.0
47,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Gottumukkala Shivaji (“King”)","MALE",48.0,"SC","IND",13.0,14.0,174308.0,105.0,138747.0,0.08,13.0,0.01,79.6,0.0,4.0
48,"2019","4","Andhra Pradesh","28",15.0,"Achanta","GEN","Karri Naga Satyanarayana Reddy","MALE",42.0,"GEN","IND",14.0,14.0,174308.0,92.0,138747.0,0.07,0.0,0.0,79.6,0.0,4.0
49,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Gottipati Ravikumar","MALE",33.0,"GEN","INC",1.0,12.0,204732.0,86035.0,173491.0,49.59,15764.0,9.09,84.74,0.0,4.0
50,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Karanam Bala Rama Krishna Murthy","MALE",62.0,"GEN","TDP",2.0,12.0,204732.0,70271.0,173491.0,40.5,59035.0,34.03,84.74,0.0,4.0
51,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Kotapothula Jwala Rao","MALE",57.0,"GEN","PRAP",3.0,12.0,204732.0,11236.0,173491.0,6.48,9559.0,5.51,84.74,0.0,4.0
52,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Chirumamilla Veeranjaneyulu","MALE",32.0,"GEN","BJP",4.0,12.0,204732.0,1677.0,173491.0,0.97,290.0,0.17,84.74,0.0,4.0
53,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Buraga Ramaiah","MALE",44.0,"SC","BSP",5.0,12.0,204732.0,1387.0,173491.0,0.8,441.0,0.25,84.74,0.0,4.0
54,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Sambasivarao Yarra","MALE",52.0,"GEN","LSP",6.0,12.0,204732.0,946.0,173491.0,0.55,235.0,0.14,84.74,0.0,4.0
55,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Sri Rama Betamsetty","MALE",36.0,"GEN","PPOI",7.0,12.0,204732.0,711.0,173491.0,0.41,261.0,0.15,84.74,0.0,4.0
56,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Maruthi Babu Gottipati","MALE",26.0,"GEN","IND",8.0,12.0,204732.0,450.0,173491.0,0.26,200.0,0.12,84.74,0.0,4.0
57,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Brahmaiah Garimidi","MALE",33.0,"GEN","IND",9.0,12.0,204732.0,250.0,173491.0,0.14,52.0,0.03,84.74,0.0,4.0
58,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Gadipudi Srinivasa Babu","MALE",38.0,"GEN","IND",10.0,12.0,204732.0,198.0,173491.0,0.11,20.0,0.01,84.74,0.0,4.0
59,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Tangirala Raja Rao","MALE",40.0,"SC","IND",11.0,12.0,204732.0,178.0,173491.0,0.1,26.0,0.01,84.74,0.0,4.0
60,"2009","5","Andhra Pradesh","28",13.0,"Addanki","GEN","Gaddam Venkata Reddy","MALE",35.0,"GEN","IND",12.0,12.0,204732.0,152.0,173491.0,0.09,0.0,0.0,84.74,0.0,4.0
